movement_id,date,origin_farm,origin_region,origin_zone,origin_lat,origin_lon,destination_farm,destination_region,destination_zone,destination_lat,destination_lon,species,animals,purpose
MOV-2025-0001,2025-01-05,NAM-KUN-0012,Kunene,NCA,-18.4521,13.8234,NAM-KUN-0045,Kunene,NCA,-18.3212,14.0123,Cattle,34,Grazing
MOV-2025-0002,2025-01-06,NAM-OSH-0023,Oshikoto,NCA,-18.1234,16.9876,NAM-OSH-0089,Oshikoto,NCA,-18.2345,17.1234,Cattle,56,Sale
MOV-2025-0003,2025-01-07,NAM-OHA-0034,Ohangwena,NCA,-17.5678,15.7890,NAM-OSH-0023,Oshikoto,NCA,-18.1234,16.9876,Cattle,23,Grazing
MOV-2025-0004,2025-01-08,NAM-KHO-0056,Khomas,FMD_Free,-22.5678,17.0834,NAM-KHO-0078,Khomas,FMD_Free,-22.4321,17.2345,Cattle,89,Sale
MOV-2025-0005,2025-01-09,NAM-ERO-0067,Erongo,FMD_Free,-22.1234,14.5678,NAM-KHO-0056,Khomas,FMD_Free,-22.5678,17.0834,Cattle,45,Breeding
MOV-2025-0006,2025-01-10,NAM-OMA-0078,Omaheke,FMD_Free,-21.9876,19.8765,NAM-WIN-ABT-01,Khomas,FMD_Free,-22.5700,17.0800,Cattle,120,Slaughter
MOV-2025-0007,2025-01-11,NAM-HAR-0089,Hardap,FMD_Free,-24.5678,17.8901,NAM-HAR-0090,Hardap,FMD_Free,-24.3456,18.0123,Cattle,67,Sale
MOV-2025-0008,2025-01-12,NAM-KAR-0090,Karas,FMD_Free,-26.1234,18.5678,NAM-HAR-0089,Hardap,FMD_Free,-24.5678,17.8901,Cattle,34,Breeding
MOV-2025-0009,2025-01-13,NAM-OSH-0089,Oshikoto,NCA,-18.2345,17.1234,NAM-OTJ-0101,Otjozondjupa,Protection,-19.5678,17.3456,Cattle,78,Quarantine
MOV-2025-0010,2025-01-14,NAM-OTJ-0101,Otjozondjupa,Protection,-19.5678,17.3456,NAM-KHO-0056,Khomas,FMD_Free,-22.5678,17.0834,Cattle,45,Sale
MOV-2025-0011,2025-01-15,NAM-KUN-0045,Kunene,NCA,-18.3212,14.0123,NAM-KUN-0012,Kunene,NCA,-18.4521,13.8234,Cattle,23,Grazing
